Date_SK,Date,Day,Month,Month_Name,Quarter,Year,Week,Day_Name,Is_Weekend
364,2015-12-30 0:00:00,30,12,December,4,2015,53,Wednesday,0
365,2015-12-31 0:00:00,31,12,December,4,2015,53,Thursday,0
366,2016-01-01 0:00:00,1,1,January,1,2016,53,Friday,0
367,2016-01-02 0:00:00,2,1,January,1,2016,53,Saturday,1
368,2016-01-03 0:00:00,3,1,January,1,2016,53,Sunday,1
369,2016-01-04 0:00:00,4,1,January,1,2016,1,Monday,0
370,2016-01-05 0:00:00,5,1,January,1,2016,1,Tuesday,0
371,2016-01-06 0:00:00,6,1,January,1,2016,1,Wednesday,0
372,2016-01-07 0:00:00,7,1,January,1,2016,1,Thursday,0
373,2016-01-08 0:00:00,8,1,January,1,2016,1,Friday,0
374,2016-01-09 0:00:00,9,1,January,1,2016,1,Saturday,1
375,2016-01-10 0:00:00,10,1,January,1,2016,1,Sunday,1
376,2016-01-11 0:00:00,11,1,January,1,2016,2,Monday,0
377,2016-01-12 0:00:00,12,1,January,1,2016,2,Tuesday,0
378,2016-01-13 0:00:00,13,1,January,1,2016,2,Wednesday,0
379,2016-01-14 0:00:00,14,1,January,1,2016,2,Thursday,0
380,2016-01-15 0:00:00,15,1,January,1,2016,2,Friday,0
381,2016-01-16 0:00:00,16,1,January,1,2016,2,Saturday,1
382,2016-01-17 0:00:00,17,1,January,1,2016,2,Sunday,1
383,2016-01-18 0:00:00,18,1,January,1,2016,3,Monday,0
384,2016-01-19 0:00:00,19,1,January,1,2016,3,Tuesday,0
385,2016-01-20 0:00:00,20,1,January,1,2016,3,Wednesday,0
386,2016-01-21 0:00:00,21,1,January,1,2016,3,Thursday,0
387,2016-01-22 0:00:00,22,1,January,1,2016,3,Friday,0
388,2016-01-23 0:00:00,23,1,January,1,2016,3,Saturday,1
389,2016-01-24 0:00:00,24,1,January,1,2016,3,Sunday,1
390,2016-01-25 0:00:00,25,1,January,1,2016,4,Monday,0
391,2016-01-26 0:00:00,26,1,January,1,2016,4,Tuesday,0
392,2016-01-27 0:00:00,27,1,January,1,2016,4,Wednesday,0
393,2016-01-28 0:00:00,28,1,January,1,2016,4,Thursday,0
